timestamp,game_round,map,latency,event,killer_id,victim_id,weapon_id,killer_ip,victim_ip,weapon,player_id,score,player_ip,points,log_line
2024-09-05 12:44:17,10,wrackdm17,150,Death,2,1,3,Player_138.25.249.94,Player_138.25.249.38,MOD_MACHINEGUN,1.0,1.0,Player_138.25.249.38,1.0,2024-09-05 12:44:17: \x08 \x08Kill: 2 1 3: Player_138.25.249.94 killed Player_138.25.249.38 by MOD_MACHINEGUN\x08 \x08PlayerScore: 2 1: Player_138.25.249.94 now has 1 points\x08 \x08Challenge: 2 202 1: Client 2 got award 202\x08 \x08Challenge: 2 1 1: Client 2 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:44:28,10,wrackdm17,150,Kill,1,0,1,Player_138.25.249.38,Player_138.25.249.93,MOD_SHOTGUN,1.0,1.0,Player_138.25.249.38,1.0,2024-09-05 12:44:28: \x08 \x08Kill: 1 0 1: Player_138.25.249.38 killed Player_138.25.249.93 by MOD_SHOTGUN\x08 \x08PlayerScore: 1 1: Player_138.25.249.38 now has 1 points\x08 \x08Challenge: 1 203 1: Client 1 got award 203\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 0 2 1: Client 0 got award 2
2024-09-05 12:44:36,10,wrackdm17,150,Death,3,1,1,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,1.0,1.0,Player_138.25.249.38,1.0,2024-09-05 12:44:36: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 1: Player_138.25.249.81 now has 1 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:45:01,10,wrackdm17,150,Kill,1,3,22,Player_138.25.249.38,Player_138.25.249.81,MOD_TRIGGER_HURT,1.0,2.0,Player_138.25.249.38,2.0,2024-09-05 12:45:01: \x08 \x08Kill: 1 3 22: Player_138.25.249.38 killed Player_138.25.249.81 by MOD_TRIGGER_HURT\x08 \x08PlayerScore: 1 2: Player_138.25.249.38 now has 2 points\x08 \x08Challenge: 1 214 1: Client 1 got award 214\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 3 2 1: Client 3 got award 2
2024-09-05 12:45:04,10,wrackdm17,150,Death,0,1,22,Player_138.25.249.93,Player_138.25.249.38,MOD_TRIGGER_HURT,1.0,2.0,Player_138.25.249.38,2.0,2024-09-05 12:45:04: \x08 \x08Kill: 0 1 22: Player_138.25.249.93 killed Player_138.25.249.38 by MOD_TRIGGER_HURT\x08 \x08PlayerScore: 0 2: Player_138.25.249.93 now has 2 points\x08 \x08Challenge: 0 214 1: Client 0 got award 214\x08 \x08Challenge: 0 1 1: Client 0 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2\x08 \x08Challenge: 0 401 1: Client 0 got award 401
2024-09-05 12:45:20,10,wrackdm17,150,Death,0,1,3,Player_138.25.249.93,Player_138.25.249.38,MOD_MACHINEGUN,1.0,3.0,Player_138.25.249.38,3.0,2024-09-05 12:45:20: \x08 \x08Kill: 0 1 3: Player_138.25.249.93 killed Player_138.25.249.38 by MOD_MACHINEGUN\x08 \x08PlayerScore: 0 3: Player_138.25.249.93 now has 3 points\x08 \x08Challenge: 0 202 1: Client 0 got award 202\x08 \x08Challenge: 0 1 1: Client 0 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:45:39,10,wrackdm17,150,Death,0,1,1,Player_138.25.249.93,Player_138.25.249.38,MOD_SHOTGUN,1.0,4.0,Player_138.25.249.38,4.0,2024-09-05 12:45:39: \x08 \x08Kill: 0 1 1: Player_138.25.249.93 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 0 4: Player_138.25.249.93 now has 4 points\n]\x08 \x08Challenge: 0 203 1: Client 0 got award 203\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
2024-09-05 12:46:28,10,wrackdm17,150,Death,3,1,1,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,1.0,1.0,Player_138.25.249.38,1.0,2024-09-05 12:46:28: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 1: Player_138.25.249.81 now has 1 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:46:39,10,wrackdm17,150,Death,3,1,1,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,1.0,2.0,Player_138.25.249.38,2.0,2024-09-05 12:46:39: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 2: Player_138.25.249.81 now has 2 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:46:52,10,wrackdm17,150,Death,3,1,1,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,1.0,3.0,Player_138.25.249.38,3.0,2024-09-05 12:46:52: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 3: Player_138.25.249.81 now has 3 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:47:04,10,wrackdm17,150,Death,1022,1,22,world,Player_138.25.249.38,MOD_TRIGGER_HURT,1.0,1.0,Player_138.25.249.38,1.0,2024-09-05 12:47:04: \x08 \x08Kill: 1022 1 22: <world> killed Player_138.25.249.38 by MOD_TRIGGER_HURT
2024-09-05 12:47:16,10,wrackdm17,150,Death,3,1,1,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN,1.0,4.0,Player_138.25.249.38,4.0,2024-09-05 12:47:16: \x08 \x08Kill: 3 1 1: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 3 4: Player_138.25.249.81 now has 4 points\x08 \x08Challenge: 3 203 1: Client 3 got award 203\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:47:22,10,wrackdm17,150,Kill,1,3,3,Player_138.25.249.38,Player_138.25.249.81,MOD_MACHINEGUN,1.0,1.0,Player_138.25.249.38,1.0,2024-09-05 12:47:22: \x08 \x08Kill: 1 3 3: Player_138.25.249.38 killed Player_138.25.249.81 by MOD_MACHINEGUN\x08 \x08PlayerScore: 1 1: Player_138.25.249.38 now has 1 points\x08 \x08Challenge: 1 202 1: Client 1 got award 202\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 3 2 1: Client 3 got award 2
2024-09-05 12:47:33,10,wrackdm17,150,Death,0,1,10,Player_138.25.249.93,Player_138.25.249.38,MOD_RAILGUN,1.0,2.0,Player_138.25.249.38,2.0,2024-09-05 12:47:33: \x08 \x08Kill: 0 1 10: Player_138.25.249.93 killed Player_138.25.249.38 by MOD_RAILGUN\x08 \x08PlayerScore: 0 2: Player_138.25.249.93 now has 2 points\x08 \x08Challenge: 0 208 1: Client 0 got award 208\x08 \x08Challenge: 0 1 1: Client 0 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:47:42,10,wrackdm17,150,Death,3,1,10,Player_138.25.249.81,Player_138.25.249.38,MOD_RAILGUN,1.0,6.0,Player_138.25.249.38,6.0,2024-09-05 12:47:42: \x08 \x08Kill: 3 1 10: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_RAILGUN\x08 \x08PlayerScore: 3 6: Player_138.25.249.81 now has 6 points\x08 \x08Challenge: 3 208 1: Client 3 got award 208\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2\x08 \x08Challenge: 3 401 1: Client 3 got award 401\x08 \x08Challenge: 3 302 1: Client 3 got award 302\x08 \x08Challenge: 3 301 1: Client 3 got award 301
2024-09-05 12:48:18,10,wrackdm17,150,Death,3,1,10,Player_138.25.249.81,Player_138.25.249.38,MOD_RAILGUN,1.0,9.0,Player_138.25.249.38,9.0,2024-09-05 12:48:18: \x08 \x08Kill: 3 1 10: Player_138.25.249.81 killed Player_138.25.249.38 by MOD_RAILGUN\x08 \x08PlayerScore: 3 9: Player_138.25.249.81 now has 9 points\x08 \x08Challenge: 3 208 1: Client 3 got award 208\x08 \x08Challenge: 3 1 1: Client 3 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:48:31,10,wrackdm17,150,Death,0,1,3,Player_138.25.249.93,Player_138.25.249.38,MOD_MACHINEGUN,1.0,3.0,Player_138.25.249.38,3.0,2024-09-05 12:48:31: \x08 \x08Kill: 0 1 3: Player_138.25.249.93 killed Player_138.25.249.38 by MOD_MACHINEGUN\x08 \x08PlayerScore: 0 3: Player_138.25.249.93 now has 3 points\x08 \x08Challenge: 0 202 1: Client 0 got award 202\x08 \x08Challenge: 0 1 1: Client 0 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:49:06,10,wrackdm17,150,Kill,1,0,8,Player_138.25.249.38,Player_138.25.249.93,MOD_PLASMA,1.0,2.0,Player_138.25.249.38,2.0,2024-09-05 12:49:06: \x08 \x08Kill: 1 0 8: Player_138.25.249.38 killed Player_138.25.249.93 by MOD_PLASMA\x08 \x08PlayerScore: 1 2: Player_138.25.249.38 now has 2 points\x08 \x08Challenge: 1 207 1: Client 1 got award 207\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 0 2 1: Client 0 got award 2
2024-09-05 12:49:18,10,wrackdm17,150,Death,0,1,1,Player_138.25.249.93,Player_138.25.249.38,MOD_SHOTGUN,1.0,6.0,Player_138.25.249.38,6.0,2024-09-05 12:49:18: \x08 \x08Kill: 0 1 1: Player_138.25.249.93 killed Player_138.25.249.38 by MOD_SHOTGUN\x08 \x08PlayerScore: 0 6: Player_138.25.249.93 now has 6 points\x08 \x08Challenge: 0 203 1: Client 0 got award 203\x08 \x08Challenge: 0 1 1: Client 0 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:50:07,10,wrackdm17,150,Kill,1,2,1,Player_138.25.249.38,Player_138.25.249.94,MOD_SHOTGUN,1.0,3.0,Player_138.25.249.38,3.0,2024-09-05 12:50:07: \x08 \x08Kill: 1 2 1: Player_138.25.249.38 killed Player_138.25.249.94 by MOD_SHOTGUN\x08 \x08PlayerScore: 1 3: Player_138.25.249.38 now has 3 points\x08 \x08Challenge: 1 203 1: Client 1 got award 203\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 2 2 1: Client 2 got award 2
2024-09-05 12:50:21,10,wrackdm17,150,Death,2,1,3,Player_138.25.249.94,Player_138.25.249.38,MOD_MACHINEGUN,1.0,3.0,Player_138.25.249.38,3.0,2024-09-05 12:50:21: \x08 \x08Kill: 2 1 3: Player_138.25.249.94 killed Player_138.25.249.38 by MOD_MACHINEGUN\x08 \x08PlayerScore: 2 3: Player_138.25.249.94 now has 3 points\x08 \x08Challenge: 2 202 1: Client 2 got award 202\x08 \x08Challenge: 2 1 1: Client 2 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:50:51,10,wrackdm17,150,Death,2,1,6,Player_138.25.249.94,Player_138.25.249.38,MOD_ROCKET,1.0,4.0,Player_138.25.249.38,4.0,2024-09-05 12:50:51: \x08 \x08Kill: 2 1 6: Player_138.25.249.94 killed Player_138.25.249.38 by MOD_ROCKET\x08 \x08PlayerScore: 2 4: Player_138.25.249.94 now has 4 points\x08 \x08Challenge: 2 205 1: Client 2 got award 205\x08 \x08Challenge: 2 1 1: Client 2 got award 1\x08 \x08Challenge: 1 2 1: Client 1 got award 2
2024-09-05 12:51:03,10,wrackdm17,150,Kill,1,2,1,Player_138.25.249.38,Player_138.25.249.94,MOD_SHOTGUN,1.0,4.0,Player_138.25.249.38,4.0,2024-09-05 12:51:03: \x08 \x08Kill: 1 2 1: Player_138.25.249.38 killed Player_138.25.249.94 by MOD_SHOTGUN\x08 \x08PlayerScore: 1 4: Player_138.25.249.38 now has 4 points\x08 \x08Challenge: 1 203 1: Client 1 got award 203\x08 \x08Challenge: 1 1 1: Client 1 got award 1\x08 \x08Challenge: 2 2 1: Client 2 got award 2
